Station_name,x,y,Colour
Hyde_Park_Corner,35,35,#0015ff
Green_Park,50,50,#0015ff
Piccadilly_Circus,90,50,#0015ff
Leicester_Square,130,50,#0015ff
Covent_Garden,150,65,#0015ff
Holborn,170,85,#0015ff
Victoria,50,10,#2e9ddb
Oxford_Circus,80,75,#2e9ddb
Warren_Street,130,100,#2e9ddb
Euston,150,130,#2e9ddb
King_Cross,200,130,#2e9ddb
Embankment,140,10,#aa5516
Charing_Cross,130,25,#aa5516
Regens_Park,55,105,#aa5516
Baker_Street_Station,35,125,#aa5516
Waterloo,130,-10,#262324
Goodge_Street,130,80,#262324
Mornington_Crescent,140,150,#262324